Year,Week,Game.Date,Team,Actual_Team_Points,Predicted_Team_Points,Opponent,Actual_Opponent_Points,Predicted_Opponent_Points,Predicted_Total_Points,Actual_Total_Points
2007,Wild Card,2008-01-06,Chargers,17,21.1721200732999,Tennessee Titans,6,17.6759774038169,38.8480974771168,23
2007,Wild Card,2008-01-06,Tampa Bay Buccaneer,14,20.4330054284102,New York Giants,24,21.0136244826089,41.4466299110191,38
2007,Division,2008-01-12,Seattle Seahawks,20,24.1296150870316,Green Bay Packers,42,22.1334334031199,46.2630484901515,62
2007,Division,2008-01-12,New England Patriot,31,28.2914654267937,Jacksonville Jaguar,20,21.5862482098557,49.8777136366494,51
2007,Division,2008-01-13,New York Giants,21,19.6911133009134,Dallas Cowboys,17,21.8965652722418,41.5876785731552,38
2007,Division,2008-01-13,Chargers,28,22.5254837995582,Indianapolis Colts,24,22.5746803059936,45.1001641055518,52
2007,Conf. Champ.,2008-01-20,New York Giants,23,21.1437467627117,Green Bay Packers,20,21.4368463620187,42.5805931247303,43
2007,Conf. Champ.,2008-01-20,Chargers,12,21.6607459427228,New England Patriot,21,25.2412589068876,46.9020048496104,33
2007,SuperBowl,2008-02-03,New York Giants,17,20.0115493711338,New England Patriot,14,25.8199999407673,45.8315493119011,31
2008,Wild Card,2009-01-03,Arizona Cardinals,30,24.3338315698268,Atlanta Falcons,24,22.3050816484997,46.6389132183265,54
2008,Wild Card,2009-01-03,Chargers,23,24.2995899189157,Indianapolis Colts,17,24.1349329893917,48.4345229083074,40
2008,Wild Card,2009-01-04,Philadelphia Eagles,26,21.1748849264693,Minnesota Vikings,14,20.2019041972667,41.376789123736,40
2008,Wild Card,2009-01-04,Baltimore Ravens,27,20.1765866397651,Miami Dolphins,9,22.9280450166657,43.1046316564308,36
2008,Division,2009-01-10,Baltimore Ravens,13,19.1488420915425,Tennessee Titans,10,19.6017234327046,38.7505655242471,23
2008,Division,2009-01-10,Arizona Cardinals,33,24.3196671578689,Carolina Panthers,13,21.5661937647716,45.8858609226404,46
2008,Division,2009-01-11,Chargers,24,21.8009105859272,Pittsburgh Steelers,35,19.9375909194817,41.7385015054089,59
2008,Division,2009-01-11,Philadelphia Eagles,23,22.0186115822469,New York Giants,11,24.7678564063194,46.7864679885663,34
2008,Conf. Champ.,2009-01-18,Baltimore Ravens,14,19.0800014757545,Pittsburgh Steelers,23,19.72313118701,38.8031326627644,37
2008,Conf. Champ.,2009-01-18,Philadelphia Eagles,25,22.3833483789621,Arizona Cardinals,32,24.4089741888549,46.792322567817,57
2008,SuperBowl,2009-02-01,Pittsburgh Steelers,27,21.2700897266598,Arizona Cardinals,23,21.1929989186555,42.4630886453153,50
2009,Wild Card,2010-01-09,New York Jets,24,19.9094829737074,Cincinnati Bengals,14,20.9600099446561,40.8694929183635,38
2009,Wild Card,2010-01-09,Philadelphia Eagles,14,19.6788147979382,Dallas Cowboys,34,24.0587500985101,43.7375648964484,48
2009,Wild Card,2010-01-10,Green Bay Packers,45,25.3220594937609,Arizona Cardinals,51,18.7962979314867,44.1183574252476,96
2009,Wild Card,2010-01-10,Baltimore Ravens,33,21.498950057685,New England Patriot,14,23.5773640437179,45.0763141014029,47
2009,Division,2010-01-16,Baltimore Ravens,3,21.8483339180074,Indianapolis Colts,20,23.0172596459698,44.8655935639772,23
2009,Division,2010-01-16,New Orleans Saints,45,23.26356598476,Arizona Cardinals,14,22.1457944403987,45.4093604251587,59
2009,Division,2010-01-17,Chargers,14,25.0058949882118,New York Jets,17,20.0665767506781,45.0724717388899,31
2009,Division,2010-01-17,Minnesota Vikings,34,22.0332571367672,Dallas Cowboys,3,23.7672338011569,45.8004909379242,37
2009,Conf. Champ.,2010-01-24,New York Jets,17,19.3739670673888,Indianapolis Colts,30,24.5135007169258,43.8874677843146,47
2009,Conf. Champ.,2010-01-24,New Orleans Saints,31,22.5235665623825,Minnesota Vikings,28,25.4909590556483,48.0145256180308,59
