Date,Team,Sum_Rushing Score
01/02/11,TAM,0.949415862799143
01/02/11,WAS,0.911593540954557
01/03/04,CAR,1.49828481912679
01/03/04,DAL,0.963861806949641
01/03/04,OTI,1.14620791110159
01/03/04,RAV,0.616077124358815
01/03/09,ATL,0.980363405703309
01/03/09,CLT,1.23403955776922
01/03/09,CRD,1.39643027910484
01/03/09,SDG,1.88798781295281
01/03/10,ATL,1.3716856995481
01/03/10,BUF,1.71520941389492
01/03/10,CAR,1.31313294456001
01/03/10,CHI,1.00095691059831
01/03/10,CIN,1.75696397568511
01/03/10,CLE,1.5591518951919
01/03/10,CLT,0.859412334835088
01/03/10,CRD,1.10925421766035
01/03/10,DAL,1.05759007085011
01/03/10,DEN,1.10125970345944
01/03/10,DET,1.47620690344036
01/03/10,GNB,1.5959214390259
