Date,Team,Sum_Rushing Score
01/02/11,TAM,0.996007941324404
01/02/11,WAS,0.948954193794262
01/03/04,CAR,1.69551473442325
01/03/04,DAL,1.0907418100808
01/03/04,OTI,1.29709143226711
01/03/04,RAV,0.697175749601639
01/03/09,ATL,1.14977972443676
01/03/09,CLT,1.42929624742968
01/03/09,CRD,1.57928129875661
01/03/09,SDG,2.2767876834934
01/03/10,ATL,1.09502802886663
01/03/10,BUF,1.36960454794959
01/03/10,CAR,1.01535757019017
01/03/10,CHI,0.783434621809961
01/03/10,CIN,1.23357550622709
01/03/10,CLE,1.35010599738079
01/03/10,CLT,0.590840417207414
01/03/10,CRD,0.73794770809625
01/03/10,DAL,0.860493162513562
01/03/10,DEN,0.919912734844951
01/03/10,DET,1.04440311828825
01/03/10,GNB,1.20729403541551
